drug	MaxEStateIndex	MinEStateIndex	MaxAbsEStateIndex	MinAbsEStateIndex	qed	MolWt	HeavyAtomMolWt	ExactMolWt	NumValenceElectrons	NumRadicalElectrons	MaxPartialCharge	MinPartialCharge	MaxAbsPartialCharge	MinAbsPartialCharge	FpDensityMorgan1	FpDensityMorgan2	FpDensityMorgan3	BalabanJ	BertzCT	Chi0	Chi0n	Chi0v	Chi1	Chi1n	Chi1v	Chi2n	Chi2v	Chi3n	Chi3v	Chi4n	Chi4v	HallKierAlpha	Ipc	Kappa1	Kappa2	Kappa3	LabuteASA	PEOE_VSA1	PEOE_VSA10	PEOE_VSA11	PEOE_VSA12	PEOE_VSA13	PEOE_VSA14	PEOE_VSA2	PEOE_VSA3	PEOE_VSA4	PEOE_VSA5	PEOE_VSA6	PEOE_VSA7	PEOE_VSA8	PEOE_VSA9	SMR_VSA1	SMR_VSA10	SMR_VSA2	SMR_VSA3	SMR_VSA4	SMR_VSA5	SMR_VSA6	SMR_VSA7	SMR_VSA8	SMR_VSA9	SlogP_VSA1	SlogP_VSA10	SlogP_VSA11	SlogP_VSA12	SlogP_VSA2	SlogP_VSA3	SlogP_VSA4	SlogP_VSA5	SlogP_VSA6	SlogP_VSA7	SlogP_VSA8	SlogP_VSA9	TPSA	EState_VSA1	EState_VSA10	EState_VSA11	EState_VSA2	EState_VSA3	EState_VSA4	EState_VSA5	EState_VSA6	EState_VSA7	EState_VSA8	EState_VSA9	VSA_EState1	VSA_EState10	VSA_EState2	VSA_EState3	VSA_EState4	VSA_EState5	VSA_EState6	VSA_EState7	VSA_EState8	VSA_EState9	FractionCSP3	HeavyAtomCount	NHOHCount	NOCount	NumAliphaticCarbocycles	NumAliphaticHeterocycles	NumAliphaticRings	NumAromaticCarbocycles	NumAromaticHeterocycles	NumAromaticRings	NumHAcceptors	NumHDonors	NumHeteroatoms	NumRotatableBonds	NumSaturatedCarbocycles	NumSaturatedHeterocycles	NumSaturatedRings	RingCount	MolLogP	MolMR	fr_Al_COO	fr_Al_OH	fr_Al_OH_noTert	fr_ArN	fr_Ar_COO	fr_Ar_N	fr_Ar_NH	fr_Ar_OH	fr_COO	fr_COO2	fr_C_O	fr_C_O_noCOO	fr_C_S	fr_HOCCN	fr_Imine	fr_NH0	fr_NH1	fr_NH2	fr_N_O	fr_Ndealkylation1	fr_Ndealkylation2	fr_Nhpyrrole	fr_SH	fr_aldehyde	fr_alkyl_carbamate	fr_alkyl_halide	fr_allylic_oxid	fr_amide	fr_amidine	fr_aniline	fr_aryl_methyl	fr_azide	fr_azo	fr_barbitur	fr_benzene	fr_benzodiazepine	fr_bicyclic	fr_diazo	fr_dihydropyridine	fr_epoxide	fr_ester	fr_ether	fr_furan	fr_guanido	fr_halogen	fr_hdrzine	fr_hdrzone	fr_imidazole	fr_imide	fr_isocyan	fr_isothiocyan	fr_ketone	fr_ketone_Topliss	fr_lactam	fr_lactone	fr_methoxy	fr_morpholine	fr_nitrile	fr_nitro	fr_nitro_arom	fr_nitro_arom_nonortho	fr_nitroso	fr_oxazole	fr_oxime	fr_para_hydroxylation	fr_phenol	fr_phenol_noOrthoHbond	fr_phos_acid	fr_phos_ester	fr_piperdine	fr_piperzine	fr_priamide	fr_prisulfonamd	fr_pyridine	fr_quatN	fr_sulfide	fr_sulfonamd	fr_sulfone	fr_term_acetylene	fr_tetrazole	fr_thiazole	fr_thiocyan	fr_thiophene	fr_unbrch_alkane	fr_urea
5-FU	11.984814814814815	-1.0011574074074072	11.984814814814815	0.7070370370370369	0.482564502908463	130.078	127.05399999999999	130.017855556	48	0	0.3253471361874118	-0.3111557027192775	0.3253471361874118	0.3111557027192775	1.4444444444444444	2.111111111111111	2.5555555555555554	3.5238977189940166	312.83394095677266	6.8533711511285205	4.271811323126579	4.271811323126579	4.198377302757663	2.1745807961581027	2.1745807961581027	1.4198610557263853	1.4198610557263853	0.7739642065842112	0.7739642065842112	0.3933619097045291	0.3933619097045291	-1.3900000000000001	104.20091930659319	5.741406044678055	1.8479763724759504	1.042170728106469	48.359278684403755	4.9839785209472085	0.0	0.0	5.817220841045895	5.559266895052007	5.689743398203474	9.77851570501903	4.794537184071822	4.39041504767482	0.0	0.0	0.0	6.196843571613076	0.0	4.39041504767482	0.0	0.0	9.967957041894417	0.0	0.0	0.0	32.8521490740581	0.0	0.0	11.24901029325548	4.39041504767482	0.0	0.0	9.967957041894417	0.0	5.817220841045895	0.0	15.785917939756718	0.0	0.0	0.0	65.72	17.066231134301376	13.979489415818463	0.0	0.0	6.196843571613076	0.0	0.0	4.9839785209472085	4.9839785209472085	0.0	0.0	11.984814814814815	0.0	24.005000000000003	0.0	-1.7081944444444441	-0.9911111111111108	0.0	0.7094907407407407	0.0	0.0	0.0	9	2	4	0	0	0	0	1	1	2	2	5	0	0	0	0	1	-0.7977000000000001	27.641399999999994	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABT-888	11.377987370874276	-0.4414961262282693	11.377987370874276	0.1310156840513983	0.7432544662077787	244.298	228.17	244.132411132	94	0	0.25047392106613314	-0.3655298802461866	0.3655298802461866	0.25047392106613314	1.5	2.3333333333333335	3.0	2.1636631747285513	610.4788115036213	12.75071237662706	10.286183306281968	10.286183306281968	8.59997219694379	6.141136592369543	6.141136592369543	5.013838323815371	5.013838323815371	3.669528654337503	3.669528654337503	2.5890363613393594	2.5890363613393594	-1.8799999999999997	21508.87796613595	11.224118240428053	3.81233057269293	1.5881981089072068	104.77697256670793	16.034434602115724	11.341105215616189	0.0	0.0	5.907179729351506	0.0	4.794537184071822	4.9839785209472085	0.0	0.0	6.06636706846161	38.44287098837844	0.0	16.619077461696605	4.794537184071822	16.94058116458403	0.0	15.284745645900749	5.733667477162185	25.304305697925987	6.544756405912575	29.58695719508175	0.0	0.0	11.050456081168516	0.0	0.0	0.0	22.4198931771585	5.538925252383345	0.0	35.94777361931139	18.19910120538483	0.0	11.033401435232523	0.0	83.8	5.907179729351506	4.794537184071822	0.0	5.538925252383345	11.080152209313258	30.727504867380784	0.0	6.06636706846161	12.13273413692322	22.20848284559137	5.733667477162185	0.0	0.0	19.23868181531872	3.448989040060469	7.224702695893172	0.4369297996976568	5.435593348450491	2.175544138951877	3.122892494960947	0.0	0.38461538461538464	18	4	5	0	1	1	1	1	2	3	3	5	2	0	1	1	3	1.2604	69.20030000000003	0	0	0	0	0	2	1	0	0	0	1	1	0	0	0	1	2	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AZD1775	13.181203874242085	-1.1383826488870756	13.181203874242085	0.24218418332006064	0.37351787019809934	500.60700000000026	468.35100000000034	500.26482226400003	192	0	0.2780221867196085	-0.3841413089660012	0.3841413089660012	0.2780221867196085	1.0810810810810811	1.8108108108108107	2.4864864864864864	1.4975485220918536	1475.3063340990172	26.156125291633362	21.424750164289446	21.424750164289446	17.740533306307345	12.34729929448778	12.34729929448778	9.820872767674635	9.820872767674635	6.547659389897677	6.547659389897677	4.439902392278441	4.439902392278441	-4.02	241184185.4197905	24.66458181684164	9.794347261520059	4.979011598970955	215.04761939865966	20.223135460547994	10.987275025448483	11.465039998602755	5.948339280986494	5.559266895052008	0.0	4.794537184071822	19.331562912184786	4.9839785209472085	6.578935683598497	12.142387175295491	57.2933487928281	43.7506417446305	12.238684400761036	5.106527394840706	28.35651326558614	0.0	29.215451163982472	0.0	25.99328161627751	43.4433959411843	77.36410091524903	0.0	5.817862777835028	15.775965229908817	17.323111830353618	0.0	0.0	67.54867616515067	12.145807216896262	0.0	19.54140239422971	66.11090602534854	0.0	16.85126421306755	0.0	104.34	5.601050810983688	9.901064578912528	0.0	12.104023300964583	28.49353148890251	31.866411898333865	16.566032781441823	42.80439864674514	12.13273413692322	50.84390691080061	4.9839785209472085	3.1620780280490015	0.0	31.601287188464937	14.099735554206662	1.5481596844073975	0.8312475482964201	13.51975479705862	3.1732618383033246	11.502504045779315	2.1453046487676537	0.3333333333333333	37	2	10	0	1	1	1	3	4	10	2	10	7	0	1	1	5	2.8860000000000015	145.79649999999984	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	7	1	0	0	1	0	0	0	0	0	0	1	0	0	3	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
BEZ-235	13.407465839626127	-0.6094675124162523	13.407465839626127	0.1487330871155721	0.3236299364019045	469.5480000000002	446.36400000000026	469.19026035600007	174	0	0.33302647294881815	-0.2931592366657142	0.33302647294881815	0.2931592366657142	0.8611111111111112	1.6111111111111112	2.388888888888889	1.5920983929372514	1903.2021789838595	25.026368779636435	20.227220036618416	20.227220036618416	17.36934182550903	11.748041786553426	11.748041786553426	9.601347129534645	9.601347129534645	6.9339053584279755	6.9339053584279755	4.736960261960972	4.736960261960972	-4.759999999999999	234470212.05205664	21.751951230209205	7.89109502524953	3.286018746240337	207.25744481737055	0.0	0.0	0.0	0.0	0.0	5.689743398203474	19.102156337477126	4.794537184071822	5.261891554738487	0.0	36.39820241076966	61.3725797935449	29.580415474916855	45.43524449895074	0.0	32.83925129939463	5.261891554738487	19.102156337477126	7.04767198267719	19.26246486877803	0.0	101.23782403873778	0.0	22.883510570869827	5.689743398203474	0.0	0.0	0.0	19.102156337477126	12.46266245207397	11.33111286753076	19.410925891078243	89.98462914883731	0.0	49.65354055747219	0.0	76.5	5.41499046939678	10.056428738810308	0.0	5.689743398203474	0.0	55.216992049169185	0.0	22.378714849872974	74.64162158714882	34.23627956007152	0.0	3.351267229885781	0.0	22.66369244876406	11.458421955250955	6.203156397122758	0.0	26.24744299155623	3.629753842910131	3.76675618446542	1.7628422833779975	0.13333333333333333	36	0	6	0	0	0	3	3	6	6	0	6	3	0	0	0	6	5.893780000000005	143.1929999999998	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
BORTEZOMIB	12.826666981607458	-1.6949844256139357	12.826666981607458	0.09193056080456885	0.46304615262258836	384.24500000000006	359.0450000000001	384.19688568000004	148	0	0.4749647122685063	-0.4257360952865367	0.4749647122685063	0.4257360952865367	1.1071428571428572	1.8214285714285714	2.392857142857143	2.1619332305440584	759.0436469670761	20.518297090128673	15.947767755576168	15.947767755576168	13.363081100704115	9.13789914488264	9.13789914488264	6.964666142522541	6.964666142522541	4.113162282885618	4.113162282885618	2.7539669302795877	2.7539669302795877	-2.7750649350649352	1408881.2155927708	21.524172160754688	10.531039362336648	6.750183039885146	164.11611240521268	20.68162235814467	11.735768823996422	0.0	5.907179729351506	5.907179729351506	7.118392334224363	14.573052889090853	4.9839785209472085	0.0	0.0	44.179309741689295	17.9021791607844	18.814508766152162	12.138036169478873	19.63711951827565	18.932751792927373	0.0	20.60153424990708	5.917906046161393	38.67215107224702	0.0	60.17974554369273	0.0	0.0	10.633577208012662	0.0	0.0	0.0	50.931787411967555	11.21535880699783	5.917906046161393	36.320212692924535	48.92236605714727	0.0	0.0	0.0	124.44000000000001	30.91578521994113	19.63711951827565	0.0	18.032655663935863	6.4208216229260096	5.563451491696996	18.59053071483923	0.0	44.179309741689295	20.60153424990708	0.0	0.0	0.0	33.07797794477448	24.450794335551283	0.9456827653901069	-1.7203417003471129	8.326027304542365	4.78381958130921	3.8310241943936028	-1.6949844256139357	0.3684210526315789	28	4	8	0	0	0	1	1	2	6	4	9	9	0	0	0	2	0.36059999999999964	105.00950000000005	0	0	0	0	0	2	0	0	0	0	2	2	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CARBOPLATIN	10.364166666666666	-1.4444444444444446	10.364166666666666	0.0	0.5231233830515151	373.26599999999996	359.154	373.060148028	82	0	0.32053725942654965	-0.48039266652665247	0.48039266652665247	0.32053725942654965	1.0	1.3076923076923077	1.3076923076923077	-3.3333331266666795e-07	177.07327308821522	7.776020881938895	7.062685443877219	9.334893498969338	4.593858127134676	3.0625686671503685	3.0625686671503685	2.545965300596787	2.545965300596787	2.0258751532891535	2.0258751532891535	1.049537908663918	1.049537908663918	-0.4516883116883117	98.70431639670045	18.355622472186287	6.070985719035729	2.7552002021306286	90.12923097043742	22.514147490317484	0.0	5.41499046939678	0.0	0.0	11.938610575903699	9.589074368143644	0.0	0.0	0.0	0.0	19.26246486877803	21.06526706137112	0.0	40.86739621919618	11.938610575903699	0.0	12.301092700636076	5.41499046939678	19.26246486877803	0.0	0.0	0.0	0.0	12.301092700636076	0.0	0.0	0.0	22.15166536558511	30.654341429514766	5.41499046939678	19.26246486877803	0.0	0.0	0.0	0.0	144.6	17.35360104530048	9.589074368143644	0.0	46.20800300785922	6.4208216229260096	0.0	0.0	0.0	0.0	0.0	10.213054789681411	0.0	0.0	20.72833333333333	16.946666666666665	-1.4444444444444446	-2.4050925925925926	0.0	1.25787037037037	0.0	0.0	0.6666666666666666	13	8	6	1	0	1	0	0	0	4	4	7	2	1	0	1	1	0.6473999999999996	41.59980000000002	2	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYCLOPHOSPHAMIDE	12.188549382716051	-2.842183641975309	12.188549382716051	0.4225385802469137	0.6057206690801091	261.089	245.969	260.02481971000003	84	0	0.3429836890948602	-0.30596634526037897	0.3429836890948602	0.30596634526037897	1.3571428571428572	2.0	2.4285714285714284	2.5822640284816734	201.8664756744443	10.441311299868556	7.91660018625193	10.322885269288754	6.726492059082182	4.597961710466701	7.244517016956578	2.9469275437115807	5.883786772984459	1.9566243352797223	4.5951889486174045	1.278310390784733	3.920544174917886	0.69	1442.8330626105126	12.758073519400952	6.311144001092418	3.36838444118429	94.44153500749829	4.5237471617118175	0.0	0.0	0.0	0.0	7.670279738874966	4.565048284931329	9.757711252998451	0.0	23.20187978046503	0.0	6.4208216229260096	31.394276107678404	6.606881964512918	9.088795446643147	30.872159519339995	0.0	9.757711252998451	0.0	6.4208216229260096	38.00115807219132	0.0	0.0	0.0	5.0872950630771525	0.0	0.0	30.872159519339995	42.671574262112614	9.088795446643147	0.0	6.4208216229260096	0.0	0.0	0.0	0.0	41.57000000000001	7.670279738874966	4.565048284931329	0.0	0.0	31.456401666278747	12.965578028838586	0.0	4.6704161899212995	0.0	5.0872950630771525	27.72562694217685	19.174876543209876	11.248020754598135	0.0	2.9071604938271607	0.0	0.8450771604938274	0.0	0.8884722222222223	2.3063542454018644	-2.842183641975309	1.0	14	1	4	0	1	1	0	0	0	2	1	7	5	0	1	1	1	1.884	59.19120000000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DASATINIB	12.693081800261481	-0.2666136091002893	12.693081800261481	0.17311797422773734	0.4657173060978848	488.01700000000034	461.8090000000002	487.15572175200003	174	0	0.2669995457316883	-0.3950445481992146	0.3950445481992146	0.2669995457316883	1.2121212121212122	2.0	2.727272727272727	1.431592912890649	1111.4321707155357	23.371668241257186	18.507134660004112	20.079560186950292	15.92305529101951	10.658603284189198	11.853064338126151	7.751415202594919	9.189264211261888	5.361898965339837	6.588407717104564	3.6317796715737853	4.6192622916178205	-2.789999999999999	33876609.84080048	23.370935025991837	10.429649853029732	5.772233374483719	201.00196040766053	20.640014333703846	22.337277247371283	5.131558479839333	0.0	5.907179729351506	0.0	9.694446914922299	14.951935562841626	0.0	0.0	35.07045990509047	25.477292959539852	38.790149098024486	23.513745124550884	9.901064578912528	51.299575807711705	0.0	19.851845293692104	0.0	13.847474399381248	54.86415093293893	51.74994834259906	0.0	0.0	15.53348693886314	22.454670310192952	0.0	22.937725768167255	70.1962164119601	0.0	13.847474399381248	21.059540367470042	30.462311845459514	5.022633313741326	0.0	0.0	106.50999999999999	0.0	4.794537184071822	0.0	12.514061693864424	38.90574894371304	37.560339893182324	17.533629449547814	6.06636706846161	32.046575604766076	35.38533223255524	16.70746728507322	0.0	7.457830513857925	30.975300560948945	16.24512659009515	1.4880803972808272	1.851363352595038	7.367072949316626	1.5315981931343652	8.028071887215573	0.0	0.36363636363636365	33	3	9	0	1	1	1	2	3	9	3	11	7	0	1	1	4	3.3135400000000015	132.04670000000002	0	1	1	0	0	3	0	0	0	0	1	1	0	1	0	5	2	0	0	0	0	0	0	0	0	0	0	1	0	4	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
DEXAMETHASONE	16.85906328735198	-1.980464025888133	16.85906328735198	0.06755645313681047	0.667213496992105	392.4670000000002	363.2350000000001	392.19990224799994	154	0	0.18990619222686997	-0.3897124158559765	0.3897124158559765	0.18990619222686997	1.3214285714285714	2.0	2.642857142857143	1.83769187946728	804.7488254884713	20.698306133819763	16.613087630696945	16.613087630696945	12.963233394208578	10.142335326732525	10.142335326732525	9.749150873950827	9.749150873950827	8.79125320497435	8.79125320497435	7.26103317002553	7.26103317002553	-1.3700000000000003	1500075.6365228966	19.925309492060308	5.832747547893353	2.0142638085946416	163.87178561127467	15.319582184522117	12.207932775496605	17.235249711475557	0.0	0.0	0.0	9.589074368143644	4.39041504767482	0.0	0.0	25.496599036284397	56.594875997385216	16.747886984954953	6.103966387748303	29.299071600340582	11.566489892729878	0.0	0.0	28.583699077277743	63.82827510825357	6.606881964512918	23.80116485057091	0.0	0.0	0.0	4.39041504767482	0.0	0.0	50.866731059242575	9.589074368143644	28.583699077277743	46.454498090775914	23.80116485057091	0.0	0.0	0.0	94.83	52.42969695947186	24.90865655266576	4.39041504767482	18.121972615452343	24.835569398847298	0.0	12.152040213667762	26.847231705905752	0.0	0.0	0.0	16.85906328735198	0.0	24.380376536674213	31.96344205578165	-5.1691156987486355	-2.1191335745667015	0.0	4.439214381714833	4.479486345126001	0.0	0.7272727272727273	28	3	5	4	0	4	0	0	0	5	3	6	2	3	0	3	4	1.8957000000000002	99.94440000000004	0	3	2	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DINACICLIB	11.548678674640769	0.18513201801559287	11.548678674640769	0.18513201801559287	0.47016975266866856	396.4950000000003	368.27100000000013	396.227374136	154	0	0.18481358924517866	-0.61868427260626	0.61868427260626	0.18481358924517866	1.3793103448275863	2.2758620689655173	3.0689655172413794	1.69308233450483	970.9597645452121	20.21696770287794	16.789835997283376	16.789835997283376	14.1902031456512	10.360165139142095	10.360165139142095	7.539278883251159	7.539278883251159	5.605950216121591	5.605950216121591	4.067463424821522	4.067463424821522	-2.8699999999999997	6351258.517915498	19.446588198151474	8.649474315692315	4.1192230215302725	169.93981856673122	20.530478754474807	11.635725555670057	18.04086436399388	0.0	0.0	0.0	0.0	4.9839785209472085	14.344487343822886	0.0	6.923737199690624	38.17047518309165	48.997872725803234	6.196843571613076	9.836935036746931	17.282902776437783	0.0	14.59805822286387	0.0	51.61444254938121	23.368336705282303	53.12378792839534	0.0	0.0	14.947105976763034	11.635725555670057	0.0	0.0	38.89806481727803	12.965578028838586	5.20725302477729	43.73392667478865	36.78963192022406	0.0	5.647177220767728	0.0	92.63	0.0	10.313780419617995	0.0	6.606881964512918	12.586597235060536	65.36825629935461	12.617665194539086	12.263210640074686	22.84497560215192	22.23911734284847	4.9839785209472085	2.6412873165204864	0.0	7.267434177374653	28.99319112363953	2.8504760655410015	1.7635412467456122	5.998627625054878	9.905806870316178	3.7463022414743268	0.0	0.47619047619047616	29	2	8	0	1	1	0	3	3	7	2	8	7	0	1	1	4	2.2785000000000006	111.78150000000007	0	1	1	0	0	4	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
DOXORUBICIN	13.643057057489099	-2.2407371425638924	13.643057057489099	0.0172524144593047	0.23526258168565614	543.5250000000003	514.2930000000003	543.1740607479999	208	0	0.20163128145012926	-0.5068479547044316	0.5068479547044316	0.20163128145012926	1.1538461538461537	1.8461538461538463	2.4871794871794872	1.6862632099701684	1376.5187409654486	28.386022388089113	21.210137267735792	21.210137267735792	18.427777117237813	12.411801735393011	12.411801735393011	10.159933060518698	10.159933060518698	7.805280422640822	7.805280422640822	5.750258572698188	5.750258572698188	-3.39	374870204.0707537	27.187262938747462	9.662462759118538	4.111772825118512	222.08139702756714	45.47689331276586	29.456468275348325	17.85651662206509	5.783244946364939	0.0	0.0	14.383611552215466	0.0	0.0	0.0	12.13273413692322	12.990104268152233	41.994660173016975	42.112051179613424	54.12683738781914	17.34973483909482	0.0	0.0	5.733667477162185	62.43101960118041	13.716679505790452	51.579810155566804	0.0	17.248535499851716	10.470530430962235	0.0	17.248535499851716	0.0	86.73990246405225	20.68908471459793	0.0	68.83913015161656	18.19910120538483	0.0	0.0	0.0	206.07	95.6690042321333	39.91624852641899	0.0	34.4241394229979	0.0	0.0	25.30889874666236	6.923737199690624	0.0	0.0	19.944256338562333	16.992219914907572	0.0	39.73908207424436	53.69213165007618	2.373741684889566	-3.774704747880252	3.63515611968848	-5.122799847545572	0.5596546492817411	1.3221851690045994	0.4444444444444444	39	7	12	2	1	3	2	0	2	12	6	12	5	0	1	1	5	0.0012999999999993017	131.75439999999995	0	3	2	0	0	0	0	2	0	0	3	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERLOTINIB	5.857396779890918	0.392174356427603	5.857396779890918	0.392174356427603	0.4178840975839869	393.4430000000002	370.2590000000002	393.16885621599994	150	0	0.16299509364145157	-0.48726952039143223	0.48726952039143223	0.16299509364145157	0.9310344827586207	1.6551724137931034	2.3448275862068964	1.9569167353908146	1001.0042022970773	20.476480726871785	16.474649631118567	16.474649631118567	14.24504470051759	9.107799662785105	9.107799662785105	6.071032106686076	6.071032106686076	4.082844815672017	4.082844815672017	2.6826134594313507	2.6826134594313507	-3.34	4235838.812669483	20.395692002202136	10.271588954277956	5.347720173143325	169.5322632278569	24.264240419206526	25.358946781625406	11.49902366656781	0.0	0.0	0.0	0.0	9.967957041894417	0.0	6.423349895620259	11.986801387317254	24.26546827384644	36.92302413186203	18.730464646642098	18.947451815200196	22.40817398459965	0.0	9.967957041894417	0.0	0.0	45.96391154461307	48.288973977231194	0.0	23.84280788104371	14.790514511606428	11.50524905251859	11.49902366656781	0.0	50.61507998250116	9.473725907600098	12.343784214475903	5.563451491696996	42.7255224855342	0.0	10.902924932081056	0.0	74.73000000000002	0.0	0.0	0.0	0.0	43.74441430245451	22.153762698461616	6.3273200747645415	14.219595082555067	36.39820241076966	21.20517996475639	25.370801710820455	21.801771191071715	0.0	8.754103465077492	4.096557301741735	2.3431613389549906	4.443107152704465	11.258046272519541	6.994191360636236	1.7256948446942135	3.2500337392662777	0.2727272727272727	29	1	7	0	0	0	2	1	3	7	1	7	10	0	0	0	3	3.405100000000002	111.93970000000004	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0
